Sample	Top over-represented sequence	Sum of remaining over-represented sequences
S100_R1	0.4784424566362179	1.9350865696623267
S100_R2	0.5937107712713463	0.0
S101_R1	1.1519513458244253	0.0
S101_R2	1.4726386657282855	0.0
S102_R1	2.456871882920448	0.0
S102_R2	2.5910936690921975	0.0
S103_R1	1.1555138104651543	0.0
S103_R2	1.2363342471139458	0.0
S104_R1	2.191762271071976	0.11098648437798975
S104_R2	2.3887117619177993	0.0
S105_R1	4.054107637492424	10.441437205798241
S105_R2	4.31127752255901	0.0
S106_R1	0.0	0.0
S106_R2	0.0	0.0
S107_R1	11.945788607501658	12.913586008695454
S107_R2	12.6182112942448	0.0
S10_R1	0.3392905426032045	0.0
S10_R2	0.365893014452556	0.0
S110_R1	4.540335679480238	8.272008662696265
S110_R2	4.83140227395777	0.0
S112_R1	1.213101496158512	0.0
S112_R2	1.308127780024262	0.0
S113_R1	1.7037610005983743	1.757760621141581
S113_R2	1.8283979626089113	0.0
S114_R1	1.4215003820263403	0.0
S114_R2	1.5214614243995541	0.0
S115_R1	5.915750915750915	0.0
S115_R2	6.25091575091575	0.0
S117_R1	0.1373173679006921	0.0
S117_R2	0.14830275733274745	0.0
S119_R1	2.8096211000834908	4.865830619170965
S119_R2	2.925311380675164	0.0
S122_R1	2.6020106445890008	1.4300306435137893
S122_R2	2.93985326199214	0.0
S123_R1	1.9453908281756034	0.10455755760634089
S123_R2	2.096910678605131	0.0
S124_R1	2.4555993375592484	0.0
S124_R2	2.8724801553309347	0.0
S125_R1	5.212473682719814	14.533747486286668
S125_R2	6.963811969523881	0.0
S126_R1	1.9371642519941397	0.0
S126_R2	2.1185928909380203	0.0
S127_R1	0.7224657779368345	0.0
S127_R2	0.8298291133577882	0.0
S128_R1	3.080232287595975	24.201689450667377
S128_R2	3.4012184177662976	0.0
S129_R1	7.7264594791597645	14.412563779736256
S129_R2	8.17374594128951	0.0
S130_R1	0.7075124441080668	0.24410341718953021
S130_R2	0.7483255022201787	0.0
S131_R1	3.2415193875394044	22.090490501530244
S131_R2	3.4345216759951107	0.0
S132_R1	8.01079500730912	0.0
S132_R2	9.312942763971662	0.0
S133_R1	2.486011583390596	0.703511010765355
S133_R2	2.6602532639638756	0.0
S134_R1	12.410265803433676	5.905725376372855
S134_R2	13.421206506653894	0.0
S135_R1	0.7075308328413052	0.0
S135_R2	0.7741607760739131	0.0
S136_R1	1.178843947548759	13.222147790533839
S136_R2	1.5145565283007245	0.0
S138_R1	4.920718242044673	0.0
S138_R2	5.346088404590377	0.0
S139_R1	1.1330684434212857	0.0
S139_R2	1.2644988489463433	0.0
S13_R1	0.35466892832360086	0.0
S13_R2	0.3737415137140005	0.0
S140_R1	14.353517337283472	2.0587079415943688
S140_R2	15.423682698993318	0.0
S141_R1	3.1045680883308076	0.0
S141_R2	3.3618903287662762	0.0
S142_R1	2.9331068722236737	8.011061754202593
S142_R2	3.375141538193537	0.0
S144_R1	1.1690661969637572	0.0
S144_R2	1.3366126615722518	0.0
S145_R1	2.855451572894351	0.0
S145_R2	3.6672680121772467	0.0
S14_R1	1.0450336485022114	9.581102889538963
S14_R2	1.133863834022426	0.0
S15_R1	1.1839317344865365	0.8658677259147358
S15_R2	1.2645336911352327	0.0
S16_R1	4.610113376065908	1.82479644280187
S16_R2	4.93157013339493	0.0
S17_R1	0.16796942162970016	1.042644835050501
S17_R2	0.17502325560890017	0.0
S18_R1	7.495509765376402	4.126773112333647
S18_R2	7.815129615749056	0.0
S19_R1	2.1903937462291125	0.0
S19_R2	2.3425408567456256	0.0
S1_R1	6.2049514258853025	5.955168027725036
S1_R2	6.641841945176692	0.0
S20_R1	2.2423694497854405	4.258082589484676
S20_R2	2.4511988590783496	0.0
S21_R1	1.229247615683504	16.17096432356058
S21_R2	1.314023313316849	0.0
S22_R1	7.933453645827108	0.0
S22_R2	8.586009489548351	0.0
S23_R1	7.933534743202417	15.874320241691839
S23_R2	8.71178247734139	0.0
S24_R1	6.9164265129683	20.4725841814509
S24_R2	7.212270338066196	0.0
S25_R1	3.285963439054325	0.0
S25_R2	3.606356178541438	0.0
S27_R1	3.9808917197452227	12.421816721179766
S27_R2	4.349572502438744	0.0
S29_R1	3.8318912237330034	0.22661722290894115
S29_R2	4.042244052653265	0.0
S2_R1	0.3041592913513639	0.690252216459385
S2_R2	0.32000494693637777	0.0
S31_R1	0.42079157603724104	0.0
S31_R2	0.46652979082389767	0.0
S32_R1	0.9391570614155194	10.51059274564963
S32_R2	0.9895690706763922	0.0
S33_R1	5.227705855293422	0.43372543865413604
S33_R2	5.6450023000591445	0.0
S34_R1	0.510239290581923	0.0
S34_R2	0.5507823956662008	0.0
S36_R1	0.5264324080653418	0.0
S36_R2	0.5692193672114363	0.0
S38_R1	7.013670496117065	10.032090366471987
S38_R2	7.3993967011103265	0.0
S39_R1	2.503293807641634	3.0721845579317497
S39_R2	2.625448263225401	0.0
S3_R1	5.414870689655173	17.19423491379309
S3_R2	5.610183189655173	0.0
S40_R1	5.892923053013967	4.477727917322301
S40_R2	6.10661071935039	0.0
S41_R1	3.9887591764982604	5.714497938769688
S41_R2	4.128650482191714	0.0
S42_R1	0.1343520146610862	0.10153792813095916
S42_R2	0.15478342702890116	0.0
S43_R1	1.4414077124672406	14.47397978285287
S43_R2	1.5612130288281543	0.0
S44_R1	5.807563598921084	7.628512910049362
S44_R2	6.020212873115536	0.0
S46_R1	7.534466840254364	0.0
S46_R2	7.858128364990612	0.0
S47_R1	1.0575132255479913	0.0
S47_R2	1.1461257236245164	0.0
S48_R1	3.7644239863799736	16.51743489501232
S48_R2	3.944132669146857	0.0
S49_R1	1.1007530170004274	2.5615731149912864
S49_R2	1.1813159711946335	0.0
S51_R1	2.277941658472632	11.27788381822739
S51_R2	2.383018103996761	0.0
S52_R1	4.186019166323711	19.818919395614127
S52_R2	4.350637897583632	0.0
S54_R1	0.4786523140042063	0.0
S54_R2	0.5081795671408295	0.0
S55_R1	1.9788745457918226	2.7667143153323215
S55_R2	2.0525299259081438	0.0
S56_R1	7.453714474405062	5.438689971406919
S56_R2	7.820696590593551	0.0
S57_R1	5.706242264716649	9.896368992626421
S57_R2	5.8748932313002244	0.0
S58_R1	0.6375253189960143	0.0
S58_R2	0.7065983403806484	0.0
S59_R1	0.13113626875567888	0.0
S59_R2	0.13604773949559196	0.0
S5_R1	2.945517032245022	1.4080663095117765
S5_R2	3.0597392095421005	0.0
S60_R1	1.1195749215217579	0.0
S60_R2	1.18365348616191	0.0
S61_R1	1.3324997974044617	0.0
S61_R2	1.4135380127114228	0.0
S62_R1	1.1811608774337947	4.122697348289456
S62_R2	1.24148663653293	0.0
S63_R1	14.578919793161576	1.735802637873304
S63_R2	15.27977098946825	0.0
S64_R1	6.0860017329990805	0.10120185470588616
S64_R2	6.775232665048319	0.0
S65_R1	2.0543774885782744	17.760947554239504
S65_R2	2.2392276591923537	0.0
S66_R1	18.147701004202112	0.0
S66_R2	19.30632375925354	0.0
S67_R1	3.389269466299052	17.050092240123043
S67_R2	3.604832817299968	0.0
S68_R1	1.8672553767269622	0.0
S68_R2	1.9398946019085601	0.0
S69_R1	2.12582357897729	0.0
S69_R2	2.2440940885049185	0.0
S6_R1	0.15081743998033229	0.0
S6_R2	0.16736480800325276	0.0
S70_R1	4.574742268041237	0.0
S70_R2	4.895699097938144	0.0
S71_R1	3.08225118582631	0.0
S71_R2	3.2736582068751012	0.0
S72_R1	4.864517417406173	0.0
S72_R2	5.526016899439598	0.0
S73_R1	4.2927508062022355	0.0
S73_R2	4.604187834076954	0.0
S74_R1	14.658274532904764	1.6353135524849858
S74_R2	15.80504296379772	0.0
S75_R1	5.45825613710051	3.9895978076269936
S75_R2	5.837482630847615	0.0
S76_R1	28.374582823910387	0.0
S76_R2	31.83094868321052	0.0
S77_R1	7.97279073120669	7.01181499732826
S77_R2	8.405357036835989	0.0
S78_R1	2.3150845124514006	0.0
S78_R2	2.488554032303304	0.0
S79_R1	5.601422222222222	0.0
S79_R2	6.619022222222222	0.0
S7_R1	0.93976130062964	0.8124663608170796
S7_R2	1.0029816063083614	0.0
S80_R1	47.9844398340249	0.0
S80_R2	49.33609958506224	0.0
S81_R1	24.35092082413224	0.0
S81_R2	26.717835473704522	0.0
S82_R1	3.560316572068111	0.0
S82_R2	3.779998401151171	0.0
S83_R1	2.0251197602037534	0.22434924925753297
S83_R2	2.136834652764369	0.0
S84_R1	2.970674443391758	16.031723709142604
S84_R2	3.245277711984841	0.0
S85_R1	1.9503385476786765	0.0
S85_R2	2.134150796178809	0.0
S86_R1	15.576789091271026	0.10450880859958112
S86_R2	16.4004180352344	0.0
S87_R1	2.49329956477907	14.860622751153619
S87_R2	2.6461596465776553	0.0
S89_R1	2.900870828933774	0.0
S89_R2	3.680302462617937	0.0
S8_R1	10.017317618575246	12.069371353632429
S8_R2	10.471274610353582	0.0
S90_R1	10.793998171270967	6.015319353049627
S90_R2	11.684379356347337	0.0
S91_R1	6.1493304316418484	0.0
S91_R2	6.527891442600915	0.0
S92_R1	11.826828644845353	10.264896207504268
S92_R2	13.567690465619997	0.0
S93_R1	6.2294409428262405	0.0
S93_R2	6.626263379703875	0.0
S94_R1	33.359799145941075	0.1008562048024686
S94_R2	35.95738288877921	0.0
S95_R1	32.961231434659545	0.7950895270807479
S95_R2	35.04118563750278	0.0
S96_R1	1.386255924170616	0.0
S96_R2	1.472704932420572	0.0
S97_R1	2.764679182479543	21.285917819273
S97_R2	3.0757883323036577	0.0
S98_R1	1.7843189643438677	0.10082322160439983
S98_R2	1.8831257215161794	0.0
S99_R1	1.7639534100855045	0.0
S99_R2	1.9182863860706718	0.0
S9_R1	1.145611618880681	30.5195943408038
S9_R2	1.2520345561537498	0.0
