Sample	Unique Reads	Duplicate Reads
S100_R1	33779.0	92882.0
S100_R2	80311.0	46350.0
S101_R1	51859.0	98755.0
S101_R2	88621.0	61993.0
S102_R1	37763.0	109009.0
S102_R2	82401.0	64371.0
S103_R1	63710.0	302534.0
S103_R2	149689.0	216555.0
S104_R1	58219.0	281462.0
S104_R2	122733.0	216948.0
S105_R1	44678.0	131859.0
S105_R2	93270.0	83267.0
S106_R1	65148.0	344815.0
S106_R2	180558.0	229405.0
S107_R1	38347.0	124497.0
S107_R2	69882.0	92962.0
S10_R1	63147.0	166155.0
S10_R2	144463.0	84839.0
S110_R1	86511.0	375239.0
S110_R2	150298.0	311452.0
S112_R1	16694.0	32766.0
S112_R2	37392.0	12068.0
S113_R1	69424.0	273171.0
S113_R2	166498.0	176097.0
S114_R1	66465.0	264664.0
S114_R2	160419.0	170710.0
S115_R1	31336.0	77864.0
S115_R2	70399.0	38801.0
S117_R1	47785.0	207099.0
S117_R2	129396.0	125488.0
S119_R1	52837.0	298100.0
S119_R2	102701.0	248236.0
S122_R1	62755.0	290664.0
S122_R2	93777.0	259642.0
S123_R1	54505.0	171208.0
S123_R2	113604.0	112109.0
S124_R1	39866.0	100222.0
S124_R2	80595.0	59493.0
S125_R1	23296.0	82623.0
S125_R2	44130.0	61789.0
S126_R1	78056.0	302810.0
S126_R2	192766.0	188100.0
S127_R1	87980.0	448516.0
S127_R2	160260.0	376236.0
S128_R1	29107.0	181494.0
S128_R2	58355.0	152246.0
S129_R1	22533.0	68013.0
S129_R2	40891.0	49655.0
S130_R1	81309.0	305822.0
S130_R2	183697.0	203434.0
S131_R1	35661.0	181953.0
S131_R2	76466.0	141148.0
S132_R1	47879.0	85516.0
S132_R2	86252.0	47143.0
S133_R1	41624.0	202864.0
S133_R2	78923.0	165565.0
S134_R1	35400.0	106547.0
S134_R2	61071.0	80876.0
S135_R1	65370.0	237797.0
S135_R2	139354.0	163813.0
S136_R1	30691.0	99182.0
S136_R2	53457.0	76416.0
S138_R1	31239.0	79253.0
S138_R2	71014.0	39478.0
S139_R1	68419.0	292989.0
S139_R2	142517.0	218891.0
S13_R1	37546.0	208881.0
S13_R2	108278.0	138149.0
S140_R1	12291.0	20788.0
S140_R2	21633.0	11446.0
S141_R1	36716.0	124949.0
S141_R2	83897.0	77768.0
S142_R1	17937.0	27987.0
S142_R2	30260.0	15664.0
S144_R1	69941.0	302493.0
S144_R2	168079.0	204355.0
S145_R1	39926.0	66502.0
S145_R2	69810.0	36618.0
S14_R1	32020.0	182997.0
S14_R2	71927.0	143090.0
S15_R1	49750.0	157441.0
S15_R2	101844.0	105347.0
