Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S100_R1	S100_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	126661.0	0.0	35-251	55.0	26.668824657945223	248.61130892697832	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
S100_R2	S100_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	126661.0	0.0	35-251	54.0	63.40625764836848	248.83345307553233	pass	fail	pass	pass	fail	fail	pass	warn	warn	warn	pass
S101_R1	S101_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	150614.0	0.0	35-251	51.0	34.4317261343567	248.0750727024048	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S101_R2	S101_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	150614.0	0.0	35-251	50.0	58.83981568778467	247.3746663656765	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
S102_R1	S102_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	146772.0	0.0	35-251	51.0	25.729021884283103	245.2245183004933	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S102_R2	S102_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	146772.0	0.0	35-251	50.0	56.14217970730112	244.93994086065462	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
S103_R1	S103_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	366244.0	0.0	35-251	51.0	17.395506820589553	248.3242073590284	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S103_R2	S103_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	366244.0	0.0	35-251	49.0	40.87137852748106	248.1442262535359	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S104_R1	S104_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	339681.0	0.0	35-251	53.0	17.139316005310864	245.86562686756105	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S104_R2	S104_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	339681.0	0.0	35-251	52.0	36.13179087091715	245.49036007312745	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S105_R1	S105_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	176537.0	0.0	35-251	53.0	25.308009085914	240.81415793856246	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
S105_R2	S105_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	176537.0	0.0	35-251	51.0	52.83311713691747	240.44526643139966	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
S106_R1	S106_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	409963.0	0.0	35-251	53.0	15.891190180577272	250.5613287052734	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
S106_R2	S106_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	409963.0	0.0	35-251	52.0	44.042509100576744	250.556728290114	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
S107_R1	S107_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	162844.0	0.0	35-251	52.0	23.54830389820933	222.16776178428435	pass	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
S107_R2	S107_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	162844.0	0.0	35-251	50.0	42.91284910712093	221.10849647515414	pass	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
S10_R1	S10_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	229302.0	0.0	35-251	52.0	27.538791637229505	249.66336534352078	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
