Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
S100_R1	73.33117534205478	55.0	248.61130892697832	27.27272727272727	126661.0
S100_R2	36.59374235163152	54.0	248.83345307553233	27.27272727272727	126661.0
S101_R1	65.5682738656433	51.0	248.0750727024048	36.36363636363637	150614.0
S101_R2	41.16018431221533	50.0	247.3746663656765	27.27272727272727	150614.0
S102_R1	74.2709781157169	51.0	245.2245183004933	36.36363636363637	146772.0
S102_R2	43.85782029269888	50.0	244.93994086065462	27.27272727272727	146772.0
S103_R1	82.60449317941044	51.0	248.3242073590284	36.36363636363637	366244.0
S103_R2	59.12862147251894	49.0	248.1442262535359	36.36363636363637	366244.0
S104_R1	82.86068399468914	53.0	245.86562686756105	36.36363636363637	339681.0
S104_R2	63.86820912908285	52.0	245.49036007312745	36.36363636363637	339681.0
S105_R1	74.691990914086	53.0	240.81415793856246	36.36363636363637	176537.0
S105_R2	47.16688286308253	51.0	240.44526643139966	27.27272727272727	176537.0
S106_R1	84.10880981942273	53.0	250.5613287052734	27.27272727272727	409963.0
S106_R2	55.957490899423256	52.0	250.556728290114	27.27272727272727	409963.0
S107_R1	76.45169610179067	52.0	222.16776178428435	36.36363636363637	162844.0
S107_R2	57.08715089287907	50.0	221.10849647515414	36.36363636363637	162844.0
S10_R1	72.46120836277049	52.0	249.66336534352078	27.27272727272727	229302.0
S10_R2	36.999182667288764	50.0	249.69716792701328	18.181818181818183	229302.0
S110_R1	81.26453708716838	53.0	239.19363075257175	36.36363636363637	461750.0
S110_R2	67.45050316994269	51.0	238.89350514347592	36.36363636363637	461750.0
S112_R1	66.24747270521634	54.0	247.6772745653053	36.36363636363637	49460.0
S112_R2	24.401536595228464	52.0	247.5580469065912	27.27272727272727	49460.0
S113_R1	79.73583969409944	52.0	246.68066083859952	36.36363636363637	342595.0
S113_R2	51.40094976966763	50.0	246.49144616821613	36.36363636363637	342595.0
S114_R1	79.92776229203724	50.0	247.7337321708458	36.36363636363637	331129.0
S114_R2	51.554036633370934	49.0	247.51893370861507	36.36363636363637	331129.0
S115_R1	71.3040293040293	49.0	237.71520146520146	36.36363636363637	109200.0
S115_R2	35.532051282051285	48.0	236.99563186813188	27.27272727272727	109200.0
S117_R1	81.25225592818694	54.0	249.60150892170557	27.27272727272727	254884.0
S117_R2	49.233531678529694	53.0	249.7588824720265	18.181818181818183	254884.0
S119_R1	84.94402129157085	52.0	244.17892385242936	36.36363636363637	350937.0
S119_R2	70.73528238133663	50.0	244.0824449972502	36.36363636363637	350937.0
S122_R1	82.24345606772698	53.0	244.78122568396154	36.36363636363637	353419.0
S122_R2	73.46605587135949	51.0	244.14272011408553	36.36363636363637	353419.0
S123_R1	75.85207763841693	53.0	246.2198189736524	36.36363636363637	225713.0
S123_R2	49.66913403044468	51.0	245.9154590121083	27.27272727272727	225713.0
S124_R1	71.54217349094854	51.0	245.45190880018274	36.36363636363637	140088.0
S124_R2	42.469019473473814	49.0	244.48765061961052	27.27272727272727	140088.0
S125_R1	78.00583464723043	53.0	237.50318639715255	36.36363636363637	105919.0
