task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
126	07/5a2abf	47999	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.673	4.7s	4.3s	80.6%	198.8 MB	36.9 GB	35.3 MB	29.2 MB
115	e1/883801	42834	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.086	8s	7.8s	105.3%	1021.5 MB	36.9 GB	128.5 MB	112.6 MB
184	9d/eceeb0	48478	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.822	6.4s	5.8s	95.0%	688.3 MB	36.9 GB	78.1 MB	69.9 MB
182	1d/cfe679	48396	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.788	8.3s	7.7s	87.5%	1.1 GB	36.8 GB	113.3 MB	98.6 MB
47	92/982427	43150	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.304	11.6s	10.9s	79.1%	1.1 GB	36.8 GB	138.7 MB	111.5 MB
90	95/ebb9a6	8672	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:03.898	7.2s	7s	121.1%	1.2 GB	36.9 GB	137.6 MB	122.3 MB
30	fb/7ecc2d	43183	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.319	20.9s	19.5s	69.1%	1.3 GB	37 GB	261.1 MB	242.4 MB
98	68/05cbac	42854	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.151	21.2s	20.5s	30.3%	787.7 MB	36.8 GB	86.1 MB	76.5 MB
82	41/a74667	48264	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.756	22.8s	22.2s	45.8%	1.2 GB	36.7 GB	165.3 MB	150.9 MB
91	7b/16674b	47558	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:53.435	24.1s	23.5s	32.2%	1.1 GB	36.8 GB	115.4 MB	105.2 MB
93	9e/88ef40	64680	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:16:00.188	17.3s	17.1s	33.2%	665.6 MB	36.8 GB	76.8 MB	58.4 MB
110	95/9989c1	42975	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:15:52.233	25.8s	25.6s	26.9%	943.6 MB	36.8 GB	100 MB	87.8 MB
